time,YellowCarCo,YellowCarCm,GreenCarCo,GreenCarCm,YellowCarSpeed,YellowCarPositionX,YellowCarPositionZ,GreenCarSpeed,GreenCarPositionX,GreenCarPositionZ,distance,CoButton,CmButton
0,1,1.41,0,0,0,143,80,0,143,62.1912,17.8088,False,False
1,1,1.41,0,0,34.6701,143,89.40225,36.61331,142.9994,72.82954,16.57272,False,False
2,1,1.41,0,0,31.7189,143,99.88623,34.79645,142.9987,82.94464,16.94159,False,False
3,1,1.41,0,0,36.68747,143,109.2742,32.96448,142.9979,92.53867,16.73554,False,False
4,1,1.41,0,0,31.3591,143,119.357,31.14349,142.9971,101.6153,17.74165,False,False
5,1,1.41,0,0,38.70483,143,129.303,29.3335,142.9963,110.1777,19.12529,False,False
6,1,1.41,0,0,33.37646,143,138.9714,27.53311,142.9955,118.2285,20.7429,False,False
7,1,1.41,0,0,37.55127,143,149.4446,25.74097,142.9948,125.7703,23.67433,False,False
8,1,1.41,0,0,35.39246,143,158.7426,23.95569,142.994,132.8055,25.93715,False,False
9,1.398545,1.41,0,0,31.00067,143,169.1206,22.17865,142.9932,139.3363,29.78435,False,False
10,1.335132,1,0,0,36.76025,143,178.5202,20.4071,142.9924,145.364,33.15617,False,False
11,1.287692,1,0,0,40.07263,143,189.6603,18.64105,142.9917,150.8905,38.76974,False,False
12,1.244252,1,0,0,39.92706,143,200.9932,16.88049,142.9916,155.9174,45.07571,False,False
13,1.203087,1,0,0,40.07263,143,212.3269,23.80463,142.9913,161.1136,51.21323,False,False
14,1.163682,1,0,0,39.92706,143,223.6597,36.79321,142.9905,169.782,53.87778,False,False
15,1.125872,1,0,0,40.07263,143,234.9934,50.25696,142.9897,182.2265,52.76692,False,False
16,1.089618,1,0,0,39.92706,143,246.3263,49.18304,142.9889,196.845,49.48131,False,False
17,1.054925,1,0,0,40.07263,143,257.6601,53.31665,142.9882,210.7328,46.92728,False,False
18,1.021807,1,0,0,39.92981,143,268.9933,56.52191,142.9867,226.6943,42.29901,False,False
19,1,1,0,0,40.07263,143,280.3274,51.90491,142.9855,242.021,38.30638,False,False
20,1,1,0,0,39.92981,143,291.6607,44.1156,142.9848,255.9559,35.70482,False,False
21,1,1,0,0,40.07263,143,302.9948,37.61719,142.984,267.3832,35.61157,False,False
22,1,1,0,0,39.92981,143,314.3281,42.79724,142.9832,278.4509,35.87717,False,False
23,1,1,0,0,40.07263,143,325.6621,39.58923,142.9824,290.3294,35.33273,False,False
24,1,1,0,0,39.92981,143,336.9954,34.99695,142.9817,300.8632,36.13223,False,False
25,1,1,0,0,40.07263,143,348.3295,38.66089,142.9809,310.7377,37.59183,False,False
26,1,1,0,0,39.92981,143,359.6628,51.35559,142.9801,323.505,36.15775,False,False
27,1,1,0,0,40.07263,143,370.9969,61.65527,142.9787,339.451,31.54587,False,False
28,1,1,0,0,39.92981,143,382.3301,69.5874,142.9772,358.185,24.14511,False,False
29,1,1,0,0,40.07263,143,393.6642,58.88672,142.9756,377.0261,16.63809,False,False
30,1,1,0,0,39.92981,143,404.9975,32.16797,142.9747,389.302,15.69553,False,False
31,1,1,0,0,40.07263,143,416.3316,37.05139,142.9739,398.5317,17.79984,False,False
32,1,1,0,0,39.92981,143,427.6649,51.38855,142.9727,411.1204,16.54443,False,False
33,1,1,0,0,40.07263,143,438.9989,51.89941,142.9712,426.7168,12.28214,False,False
34,1,1,0,0,39.92981,143,450.3322,24.46655,142.9702,437.0687,13.26355,False,False
35,1,1,0,0,40.07263,143,461.6663,32.73926,142.9694,445.0881,16.57822,False,False
36,1.003068,1,0,0,39.92981,143,472.9996,47.35107,142.9682,456.6162,16.38336,False,False
37,1.035252,1,0,0,40.07263,143,484.3336,57.20032,142.9666,471.6901,12.64352,False,False
38,1.06902,1.280327,0,0,39.92981,143,495.6669,53.71765,142.9651,487.5273,8.139587,False,False
39,1,1.356487,0,0,39.85291,143,506.9847,28.74023,142.9638,499.7722,7.212463,False,False
40,1,1.453315,0,0,32.50854,143,516.7683,32.77771,142.963,507.604,9.164276,False,False
41,1,1.480933,0,0,39.8584,143,527.0407,40.06714,142.962,518.197,8.843689,False,False
42,1,1.420379,0,0,34.09058,143,538.1973,34.82666,142.9612,528.7784,9.418884,False,False
43,1,1.46945,0,0,35.89233,143,547.4402,26.1145,142.9604,537.7774,9.662842,False,False
44,1,1.306761,0,0,39.8584,143,558.4453,27.45483,142.9597,544.5054,13.93988,False,False
45,1,1.42309,0,0,30.92651,143,569.3866,40.29785,142.9588,554.0663,15.32025,False,False
46,1,1.474812,0,0,36.68335,143,578.7657,51.47095,142.9572,567.3321,11.43365,False,False
47,1,1.365327,0,0,40.06714,143,589.8865,45.51636,142.9557,581.102,8.784485,False,False
48,1,1.46437,0,0,33.01392,143,599.571,39.77051,142.9541,593.1523,6.41864,False,False
49,1,1.12852,0,0,39.57275,143,609.9774,34.552,142.9533,603.6536,6.32373,False,False
50,1,1.430569,0,0,30.1355,143,620.8511,29.80591,142.9525,612.6552,8.195984,False,False
51,1,1.476223,0,0,36.68335,143,630.2259,42.44019,142.9516,622.9686,7.257324,False,False
52,1,1.374401,0,0,40.06714,143,641.3466,37.71606,142.9502,634.3867,6.959961,False,False
53,1,1.464959,0,0,33.29956,143,650.9559,39.03442,142.9494,644.7798,6.176086,False,False
54,1,1.178712,0,0,39.8584,143,661.4352,34.93652,142.9484,655.3715,6.063721,False,False
55,1,1.438489,0,0,29.91577,143,672.1536,38.95752,142.9476,665.2843,6.869263,False,False
56,1,1.481779,0,0,37.26563,143,681.6916,41.69312,142.946,677.3251,4.366455,False,False
57,1,1.398754,0,0,40.06714,143,692.8778,36.30981,142.9449,688.3494,4.528381,False,False
58,1,1.472908,0,0,34.45313,143,702.2185,36.84814,142.9441,698.6158,3.602722,False,False
