time,YellowCarCo,YellowCarCm,GreenCarCo,GreenCarCm,YellowCarSpeed,YellowCarPositionX,YellowCarPositionZ,GreenCarSpeed,GreenCarPositionX,GreenCarPositionZ,distance,CoButton,CmButton
0,1,1.41,1,1,0,143,60,0,143,100,40,False,False
1,1,1.41,1,1,40.14267,143,71.36221,40.14404,143,111.3415,39.9793,False,False
2,1,1.41,1,1,40.28687,143,82.75699,39.99985,143,122.6948,39.93783,False,False
3,1,1.41,1,1,40.14404,143,94.15097,40.14404,143,134.0488,39.89786,False,False
4,1,1.41,1,1,40.28687,143,105.5457,39.99847,143,145.4019,39.8562,False,False
5,1,1.41,1,1,40.14404,143,116.9397,40.14404,143,156.7559,39.81615,False,False
6,1,1.41,1,1,40.28687,143,128.3345,39.99847,143,168.109,39.77449,False,False
7,1,1.41,1,1,40.14404,143,139.7285,40.14404,143,179.4629,39.73444,False,False
8,1,1.41,1,1,40.28687,143,151.1233,39.99847,143,190.816,39.69278,False,False
9,1,1.41,1,1,40.14404,143,162.5172,40.14404,143,202.17,39.65273,False,False
10,1,1,1,1,39.99847,143,173.904,39.99847,143,213.5231,39.61908,False,False
11,1,1,1,1,40.14404,143,185.2579,40.14404,143,224.877,39.61908,False,False
12,1,1,1,1,39.99847,143,196.6111,39.99847,143,236.2301,39.61908,False,False
13,1,1,1,1,40.14404,143,207.965,40.14404,143,247.5841,39.61908,False,False
14,1,1,1,1,39.99847,143,219.3181,40.00122,143,258.9276,39.60948,False,False
15,1,1,1,1,40.14404,143,230.672,39.85291,143,270.2398,39.56781,False,False
16,1,1,1,1,39.99847,143,242.0251,40.00122,143,281.5529,39.52777,False,False
17,1,1,1,1,40.14404,143,253.3791,39.85291,143,292.8652,39.4861,False,False
18,1,1,1,1,40.00122,143,264.7018,40.00122,143,304.1783,39.4765,False,False
19,1,1,1,1,39.85291,143,276.014,39.85291,143,315.4905,39.4765,False,False
20,1,1,1,1,40.00122,143,287.3271,40.00122,143,326.8036,39.4765,False,False
21,1,1,1,1,39.85291,143,298.6393,39.85291,143,338.1158,39.4765,False,False
22,1,1,1,1,40.00122,143,309.9524,40.00122,143,349.4289,39.4765,False,False
23,1,1,1,1,39.85291,143,321.2647,39.85291,143,360.7412,39.4765,False,False
24,1,1,1,1,40.00122,143,332.5778,40.00122,143,372.0543,39.4765,False,False
25,1,1,1,1,39.85291,143,343.89,39.85291,143,383.3665,39.4765,False,False
26,1,1,1,1,40.00122,143,355.2031,40.00122,143,394.6796,39.4765,False,False
27,1,1,1,1,39.85291,143,366.5154,39.85291,143,405.9919,39.4765,False,False
28,1,1,1,1,40.00122,143,377.8284,40.00122,143,417.3049,39.4765,False,False
29,1,1,1,1,39.85291,143,389.1407,39.85291,143,428.6172,39.4765,False,False
30,1,1,1,1,40.00122,143,400.4538,40.00122,143,439.9303,39.4765,False,False
31,1,1,1,1,39.85291,143,411.766,39.85291,143,451.2425,39.4765,False,False
32,1,1,1,1,40.00122,143,423.0791,40.00122,143,462.5556,39.4765,False,False
33,1,1,1,1,39.85291,143,434.3914,39.85291,143,473.8679,39.4765,False,False
34,1,1,1,1,40.00122,143,445.7044,40.00122,143,485.1809,39.4765,False,False
35,1,1,1,1,39.85291,143,457.0167,39.85291,143,496.4932,39.4765,False,False
36,1,1,1,1,40.00122,143,468.3298,40.00122,143,507.8063,39.4765,False,False
37,1,1,1,1,39.85291,143,479.642,39.8584,143,519.119,39.47699,False,False
38,1,1,1,1,40.00122,143,490.9551,40.00122,143,530.4329,39.47775,False,False
39,1,1,1,1,39.85291,143,502.2674,39.8584,143,541.7459,39.47855,False,False
40,1,1,1,1,40.00122,143,513.5806,40.00122,143,553.0598,39.47919,False,False
41,1,1,1,1,39.8584,143,524.8936,39.8584,143,564.3728,39.47919,False,False
42,1,1,1,1,40.00122,143,536.2075,40.00122,143,575.6866,39.47919,False,False
43,1,1,1,1,39.8584,143,547.5205,39.8584,143,586.9997,39.47919,False,False
44,1,1,1,1,40.00122,143,558.8344,40.00122,143,598.3135,39.47919,False,False
