time,BlueCarCo,BlueCarCm,GreenCarCo,GreenCarCm,BlueCarSpeed,BlueCarPositionX,BlueCarPositionZ,GreenCarSpeed,GreenCarPositionX,GreenCarPositionZ,distance,ƒ{ƒ^ƒ“
0,1,1.320842,0,0,0,143,128.1,0,0,0,16.10001,on
0,1,1.395893,0,0,0.1483154,143,128.1008,0,0,0,16.10147,on
0,1,1.433137,0,0,0.2966309,143,128.1025,0,0,0,16.10393,on
0,1,1.454493,0,0,0.4394531,143,128.1049,0,0,0,16.10732,on
0,1,1.467767,0,0,0.585022,143,128.1082,0,0,0,16.11154,on
0,1,1.476479,0,0,0.7250977,143,128.1122,0,0,0,16.11651,on
0,1,1.482429,0,0,0.8679199,143,128.117,0,0,0,16.12215,on
0,1,1.486621,0,0,1.010742,143,128.1226,0,0,0,16.12843,on
0,1,1.48965,0,0,1.150818,143,128.129,0,0,0,16.13529,on
0,1,1.491884,0,0,1.296387,143,128.1362,0,0,0,16.14274,on
0,1,1.493561,0,0,1.436462,143,128.1442,0,0,0,16.15075,on
0,1,1.494838,0,0,1.582031,143,128.153,0,0,0,16.15936,on
0,1,1.495824,0,0,1.724854,143,128.1626,0,0,0,16.16859,on
0,1,1.496594,0,0,1.870422,143,128.173,0,0,0,16.1785,on
0,1,1.497202,0,0,2.015991,143,128.1842,0,0,0,16.18909,on
0,1,1.497685,0,0,2.158813,143,128.1962,0,0,0,16.20044,on
0,1,1.498074,0,0,2.304382,143,128.209,0,0,0,16.21259,on
0,1,1.498387,0,0,2.447205,143,128.2226,0,0,0,16.22557,on
0,1,1.498643,0,0,2.592773,143,128.237,0,0,0,16.23943,on
0,1,1.498852,0,0,2.735596,143,128.2522,0,0,0,16.25418,on
0,1,1.499025,0,0,2.881165,143,128.2682,0,0,0,16.26987,on
0,1,1.499168,0,0,3.023987,143,128.285,0,0,0,16.28647,on
0,1,1.499287,0,0,3.166809,143,128.3026,0,0,0,16.30399,on
0,1,1.499387,0,0,3.312378,143,128.321,0,0,0,16.32246,on
0,1,1.499471,0,0,3.4552,143,128.3402,0,0,0,16.34181,on
0,1,1.499542,0,0,3.600769,143,128.3602,0,0,0,16.36207,on
0,1,1.499602,0,0,3.740845,143,128.381,0,0,0,16.38318,on
0,1,1.499653,0,0,3.88916,143,128.4026,0,0,0,16.40514,on
0,1,1.499696,0,0,4.029236,143,128.4249,0,0,0,16.42789,on
0,1,1.499734,0,0,4.174805,143,128.4481,0,0,0,16.45143,on
0,1,1.499766,0,0,4.320374,143,128.4721,0,0,0,16.47575,on
0,1,1.499794,0,0,4.460449,143,128.4969,0,0,0,16.50079,on
0,1,1.499817,0,0,4.608765,143,128.5225,0,0,0,16.52659,on
0,1,1.499838,0,0,4.751587,143,128.5489,0,0,0,16.55311,on
0,1,1.499856,0,0,4.897156,143,128.5761,0,0,0,16.58037,on
0,1,1.499872,0,0,5.039978,143,128.6041,0,0,0,16.60834,on
0,1,1.499886,0,0,5.1828,143,128.6329,0,0,0,16.63703,on
0,1,1.499898,0,0,5.331116,143,128.6625,0,0,0,16.66649,on
0,1,1.499908,0,0,5.471191,143,128.6929,0,0,0,16.69668,on
0,1,1.499918,0,0,5.61676,143,128.7241,0,0,0,16.72765,on
0,1,1.499926,0,0,5.762329,143,128.7561,0,0,0,16.75939,on
0,1,1.499933,0,0,5.905151,143,128.789,0,0,0,16.79193,on
0,1,1.49994,0,0,6.05072,143,128.8226,0,0,0,16.82529,on
0,1,1.499945,0,0,6.190796,143,128.857,0,0,0,16.85945,on
0,1,1.499951,0,0,6.336365,143,128.8922,0,0,0,16.89445,on
0,1,1.499955,0,0,6.479187,143,128.9282,0,0,0,16.93027,on
0,1,1.499959,0,0,6.627502,143,128.965,0,0,0,16.96695,on
0,1,1.499963,0,0,6.767578,143,129.0026,0,0,0,17.00446,on
