time,BlueCarCo,BlueCarCm,GreenCarCo,GreenCarCm,BlueCarSpeed,BlueCarPositionX,BlueCarPositionZ,GreenCarSpeed,GreenCarPositionX,GreenCarPositionZ,distance,CoButton,CmButton
0,1,1.092465,0,0,0,143,42.3,0,143,58.0912,15.7912,False,False
1,1,1.359359,0,0,28.3358,143,50.76064,28.3358,142.9994,68.72952,17.96888,False,False
2,1,1.400474,0,0,32.36705,144.0287,59.0112,32.36705,142.9987,78.84463,19.83343,False,False
3,1,1.400474,0,0,39.71107,145.6803,69.10519,39.71107,142.9979,88.43865,19.33347,False,False
4,1,1.400474,0,0,46.19122,146.8215,81.34859,46.19122,142.9971,97.51534,16.16674,False,False
5,1,1.400474,0,0,44.31879,147.4497,94.15446,44.31879,142.9963,106.0777,11.92323,False,False
6,1,1.400474,0,0,42.44795,147.698,106.4625,42.44795,142.9955,114.1285,7.665993,False,False
7,1,1.400474,0,0,40.86365,147.7496,118.2651,40.86365,142.9948,121.6703,3.405159,False,False
8,1,1.400474,0,0,38.99048,147.75,129.5598,38.99048,142.994,128.7055,0.8543701,False,False
9,1,1.400474,0,0,37.12006,147.75,140.3515,37.12006,142.9932,135.2363,5.115158,False,False
10,1,1.400474,0,0,35.53681,147.2692,150.6038,35.53681,142.9924,141.2641,9.339783,False,False
11,1,1.400474,0,0,33.66335,146.0361,160.3122,33.66335,142.9917,146.7905,13.52164,False,False
12,1,1.400474,0,0,31.79278,145.0756,169.5473,31.79278,142.9917,151.8175,17.72987,False,False
13,1,1.400474,0,0,30.20838,144.3411,178.3065,30.20838,142.9917,156.3464,21.96007,False,False
14,1,1.400474,0,0,28.33437,143.7947,186.5784,28.33437,142.9917,160.3789,26.19948,False,False
15,1,1.400474,0,0,26.75129,143.4045,194.365,26.75129,142.9917,163.9161,30.44887,False,False
