time,YellowCarCo,YellowCarCm,GreenCarCo,GreenCarCm,YellowCarSpeed,BlueCarPositionX,BlueCarPositionZ,GreenCarSpeed,GreenCarPositionX,GreenCarPositionZ,distance,CoButton,CmButton
0,1,1.092465,1,1.053497,0,143,80,0,143,100,20,False,False
1,1,1.060945,1,1.303682,31.7189,143,89.71455,31.7189,143,111.3415,21.62695,False,False
2,1,1.087821,1,1.347131,33.51929,143,99.00574,33.51929,143,122.6948,23.68908,False,False
3,1,1.060945,1,1.358797,35.31967,143,108.8113,35.31967,143,134.0488,25.23751,False,False
4,1,1.087821,1,1.357146,36.32767,143,118.9993,36.32767,143,145.4019,26.40265,False,False
5,1,1.060945,1,1.34768,37.33154,143,129.4729,37.33154,143,156.7559,27.283,False,False
6,1,1.087821,1,1.332332,38.34229,143,140.1616,38.34229,143,168.109,27.94739,False,False
7,1,1.060945,1,1.312821,38.55927,143,151.0171,38.55927,143,179.4629,28.44583,False,False
8,1,1.087821,1,1.288397,38.77625,143,161.9911,38.77625,143,190.816,28.82494,False,False
9,1,1.060945,1,1.260812,38.99048,143,173.0659,38.99048,143,202.17,29.10408,False,False
10,1,1.087821,1,1.250477,39.20746,143,184.1974,39.20746,143,213.5231,29.32565,False,False
11,1,1.060945,1,1.260387,39.42444,143,195.3946,39.42444,143,224.877,29.48245,False,False
12,1,1,1,1.269602,39.63867,143,206.6309,39.63867,143,236.2301,29.59924,False,False
13,1,1,1,1.278204,40.07263,143,217.9277,40.07263,143,247.5841,29.65634,False,False
14,1,1,1,1.286263,40.07263,143,229.2478,40.07263,143,258.9276,29.67979,False,False
15,1,1,1,1.293835,39.92706,143,240.5807,39.92706,143,270.2398,29.65912,False,False
16,1,1,1,1.300969,40.07263,143,251.9144,40.07263,143,281.5529,29.6385,False,False
17,1,1,1,1.307704,39.85291,143,263.2129,39.85291,143,292.8652,29.65231,False,False
18,1,1,1,1.314077,40.00122,143,274.5259,40.00122,143,304.1783,29.65231,False,False
19,1,1,1,1.320117,39.85291,143,285.8382,39.85291,143,315.4905,29.65231,False,False
20,1,1,1,1.325853,40.00122,143,297.1513,40.00122,143,326.8036,29.65231,False,False
