time,YellowCarCo,YellowCarCm,GreenCarCo,GreenCarCm,YellowCarSpeed,BlueCarPositionX,BlueCarPositionZ,GreenCarSpeed,GreenCarPositionX,GreenCarPositionZ,distance,CoButton,CmButton
0,1,1.052884,1,1,0,143,100,0,143,80,20,False,False
1,1,1.301325,1,1.087821,40.14267,143,111.3415,40.14267,143,89.72261,21.61888,False,False
2,1,1.344734,1,1.059466,39.99985,143,122.6948,39.99985,143,99.06458,23.63022,False,False
3,1,1.356407,1,1.087821,40.14404,143,134.0488,40.14404,143,108.9122,25.13664,False,False
4,1,1.354689,1,1.059466,39.99847,143,145.4019,39.99847,143,119.1289,26.27299,False,False
5,1,1.344968,1,1.087821,40.14404,143,156.7559,40.14404,143,129.6225,27.13335,False,False
6,1,1.331197,1,1.059466,39.99847,143,168.109,39.99847,143,140.3532,27.75577,False,False
7,1,1.31096,1,1.087821,40.14404,143,179.4629,40.14404,143,151.2111,28.25179,False,False
8,1,1.287583,1,1.059466,39.99847,143,190.816,39.99847,143,162.2007,28.61531,False,False
9,1,1.259127,1,1.087821,40.14404,143,202.17,40.14404,143,173.2735,28.89641,False,False
10,1,1.250477,1,1.059466,39.99847,143,213.5231,39.99847,143,184.4207,29.10236,False,False
11,1,1.260387,1,1.087821,40.14404,143,224.877,40.14404,143,195.6158,29.26115,False,False
12,1,1.269602,1,1,39.99847,143,236.2301,39.99847,143,206.8589,29.37117,False,False
13,1,1.278204,1,1,40.14404,143,247.584,40.14404,143,218.1437,29.44031,False,False
14,1,1.286263,1,1,40.00122,143,258.9276,40.00122,143,229.4638,29.46375,False,False
15,1,1.293835,1,1,39.85291,143,270.2398,39.85291,143,240.7975,29.44232,False,False
16,1,1.300969,1,1,40.00122,143,281.5529,40.00122,143,252.1304,29.42252,False,False
17,1,1.307704,1,1,39.85291,143,292.8651,39.85291,143,263.435,29.43015,False,False
18,1,1.314077,1,1,40.00122,143,304.1782,40.00122,143,274.7473,29.43097,False,False
19,1,1.320117,1,1,39.85291,143,315.4905,39.85291,143,286.0603,29.43015,False,False
20,1,1.325853,1,1,40.00122,143,326.8036,40.00122,143,297.3726,29.43097,False,False
21,1,1.331307,1,1,39.85291,143,338.1158,39.85291,143,308.6857,29.43015,False,False
22,1,1.3365,1,1,40.00122,143,349.4289,40.00122,143,319.9979,29.43097,False,False
23,1,1.341452,1,1,39.85291,143,360.7411,39.85291,143,331.311,29.43015,False,False
24,1,1.346179,1,1,40.00122,143,372.0542,40.00122,143,342.6233,29.43097,False,False
25,1,1.350696,1,1,39.85291,143,383.3665,39.85291,143,353.9363,29.43015,False,False
26,1,1.355017,1,1,40.00122,143,394.6796,40.00122,143,365.2486,29.43097,False,False
27,1,1.359154,1,1,39.85291,143,405.9918,39.85291,143,376.5617,29.43015,False,False
28,1,1.363119,1,1,40.00122,143,417.3049,40.00122,143,387.8739,29.43097,False,False
29,1,1.366922,1,1,39.85291,143,428.6172,39.85291,143,399.187,29.43015,False,False
30,1,1.370572,1,1,40.00122,143,439.9302,40.00122,143,410.4993,29.43097,False,False
31,1,1.374079,1,1,39.85291,143,451.2425,39.85291,143,421.8123,29.43015,False,False
32,1,1.37745,1,1,40.00122,143,462.5556,40.00122,143,433.1246,29.43097,False,False
33,1,1.380692,1,1,39.85291,143,473.8678,39.85291,143,444.4377,29.43015,False,False
34,1,1.383813,1,1,40.00122,143,485.1809,40.00122,143,455.7499,29.43097,False,False
35,1,1.386819,1,1,39.85291,143,496.4932,39.85291,143,467.063,29.43015,False,False
36,1,1.389715,1,1,40.00122,143,507.8062,40.00122,143,478.3753,29.43097,False,False
37,1,1.392508,1,1,39.8584,143,519.119,39.8584,143,489.6884,29.43066,False,False
38,1,1.395202,1,1,40.00122,143,530.4329,40.00122,143,501.0006,29.43225,False,False
39,1,1.397803,1,1,39.8584,143,541.7459,39.8584,143,512.3137,29.43219,False,False
40,1,1.400314,1,1,40.85815,143,553.0788,40.85815,143,523.6268,29.45203,False,False
41,1.308817,1.282379,1,1,39.8584,143,564.518,39.8584,143,534.9406,29.57739,False,False
