time,BlueCarCo,BlueCarCm,GreenCarCo,GreenCarCm,BlueCarSpeed,BlueCarPositionX,BlueCarPositionZ,GreenCarSpeed,GreenCarPositionX,GreenCarPositionZ,distance,ƒ{ƒ^ƒ“
0,1,1.284315,0,0,0,143,100,0,0,0,20,off
1,1,1.499856,1,1,47.05444,143,112.3142,39.99985,143,91.12009,20.97104,off
2,1,1.499961,1,1,54.3988,143,126.7073,40.14404,143,102.4742,24.01082,off
3,1,1.492631,1,1,60.01556,143,143.1139,39.99985,143,113.8275,29.06339,off
4,1.018152,1.499845,1,1,59.87,143,160.0813,40.14404,143,125.1816,34.67747,off
5,1,1.499867,1,1,60.01556,143,177.0655,39.99847,143,136.5348,40.30769,off
6,1,1.478541,1,1,59.87,143,194.0489,40.14404,143,147.8887,45.93796,off
7,1,1,1,1,53.6792,143,210.2588,39.99847,143,159.2419,50.79391,off
8,1,1,1,1,46.33484,143,224.4071,40.14404,143,170.5958,53.58911,off
9,1,1,1,1,40.14404,143,236.5002,39.99847,143,181.9489,54.32831,off
10,1,1,1,1,39.99847,143,247.8533,40.14404,143,193.3028,54.32828,off
11,1,1,1,1,39.85291,143,259.196,39.99847,143,204.656,54.31706,off
12,1,1,1,1,40.00122,143,270.5091,40.14404,143,216.0099,54.27702,off
13,1,1,1,1,39.85291,143,281.8214,39.99847,143,227.363,54.23535,off
14,1,1,1,1,40.00122,143,293.1345,40.14404,143,238.7169,54.19531,off
15,1,1,1,1,39.85291,143,304.4467,39.99847,143,250.0701,54.15364,off
16,1,1,1,1,40.00122,143,315.7598,39.85291,143,261.4048,54.13281,off
17,1,1,1,1,39.85291,143,327.0721,40.00122,143,272.7178,54.13281,off
18,1,1,1,1,40.00122,143,338.3851,39.85291,143,284.0301,54.13281,off
19,1,1,1,1,39.85291,143,349.6974,40.00122,143,295.3432,54.13281,off
20,1,1,1,1,40.00122,143,361.0105,39.85291,143,306.6554,54.13281,off
