time,YellowCarCo,YellowCarCm,GreenCarCo,GreenCarCm,YellowCarSpeed,YellowCarPositionX,YellowCarPositionZ,GreenCarSpeed,GreenCarPositionX,GreenCarPositionZ,distance,CoButton,CmButton
0,1,1.41,1,1,0,143,60,0,143,100,40,False,False
1,1,1.41,1,1,47.1988,144.319,72.28091,40.14404,143,111.3415,39.0606,False,False
2,1,1.41,1,1,54.54358,145.4741,86.66815,39.99985,143,122.6948,36.02666,False,False
3,1,1.41,1,1,54.97587,146.3667,102.2354,40.14404,143,134.0488,31.81342,False,False
4,1,1.41,1,1,55.11922,146.9728,117.8206,39.99847,143,145.4019,27.58134,False,False
5,1,1.41,1,1,54.97451,147.3579,133.4121,40.14404,143,156.7559,23.34381,False,False
6,1,1.41,1,1.329188,55.1186,147.581,149.0076,39.99847,143,168.109,19.10144,False,False
7,1,1.41,1,1.472701,54.97618,147.6933,164.6035,40.14404,143,179.4629,14.85947,False,False
8,1,1.41,1,1.489916,55.11847,147.7381,180.2005,39.99847,143,190.816,10.61554,False,False
9,1,1.41,1,1.496316,54.97559,147.7493,195.7968,40.14404,143,202.17,6.373215,False,False
10,1,1.41,1,1.49866,55.11841,147.75,211.3938,39.99847,143,213.5231,2.129288,False,False
11,1,1.41,1,1.499116,54.97559,147.75,226.9901,40.14404,143,224.877,2.113037,False,False
12,1,1.41,1,1.499116,55.11841,147.75,242.5871,39.99847,143,236.2301,6.356964,False,False
13,1,1.41,1,1.499116,57.27933,146.4169,258.1978,42.44843,143,247.6992,10.4986,False,False
14,1,1.41,1.189975,1.499116,60.01591,144.8501,274.9782,49.79004,143,260.7868,14.19144,False,False
15,1,1.41,1.380797,1.499116,59.87191,143.9281,291.9358,57.1344,143,275.9551,15.98065,False,False
16,1,1.41,1,1.145656,60.01373,143.4499,308.913,52.67395,143,291.8267,17.08633,False,False
17,1,1.41,1,1.358149,59.87324,143.2031,325.8947,45.32959,143,305.6895,20.20523,False,False
18,1,1.41,1,1.273818,54.83352,143.0807,342.0242,40.00122,143,317.5498,24.47443,False,False
19,1,1.41,1,1.15926,54.97573,143.0248,357.5808,39.85291,143,328.8621,28.71875,False,False
20,1,1.41,1,1.022485,54.83278,143.0043,373.1366,40.00122,143,340.1751,32.96146,False,False
21,1,1.41,1,1,54.97559,143.0001,388.6932,39.85291,143,351.4874,37.20578,False,False
22,1,1.41,1,1,57.56836,143,404.1707,40.00122,143,362.8005,41.37018,False,False
23,1,1.41,1,1,60.01282,143,421.0522,39.85291,143,374.1127,46.93948,False,False
24,1,1.41,1,1,59.87,143,438.0352,40.00122,143,385.4258,52.60941,False,False
25,1,1.41,1,1,60.01282,143,455.019,39.85291,143,396.7381,58.28094,False,False
26,1,1.41,1,1,59.87,143,472.002,40.00122,143,408.0511,63.95087,False,False
27,1,1.41,1,1,60.01282,143,488.9858,39.85291,143,419.3634,69.62241,False,False
28,1,1.41,1,1,59.87,143,505.9688,40.00122,143,430.6765,75.29233,False,False
29,1,1.41,1,1,60.01831,143,522.9536,39.85291,143,441.9887,80.96487,False,False
30,1,1.41,1,1,59.87549,143,539.9382,40.00122,143,453.3018,86.63635,False,False
31,1,1.41,1,1,60.01831,143,556.9235,39.85291,143,464.6141,92.30945,False,False
32,1,1,1,1,55.54688,143,573.5234,40.00122,143,475.9272,97.59628,False,False
33,1,1,1,1,48.20801,143,588.2021,39.85291,143,487.2394,100.9627,False,False
34,1,1,1,1,40.85815,143,600.8002,40.00122,143,498.5525,102.2477,False,False
35,1,1,1,1,39.8584,143,612.1275,39.85291,143,509.8647,102.2628,False,False
36,1,1,1,1,40.00122,143,623.4413,40.00122,143,521.1785,102.2629,False,False
37,1,1,1,1,39.8584,143,634.7544,39.8584,143,532.4915,102.2629,False,False
38,1,1,1,1,40.00122,143,646.0682,40.00122,143,543.8054,102.2629,False,False
39,1,1,1,1,39.8584,143,657.3813,39.8584,143,555.1184,102.2629,False,False
40,1,1,1,1,40.00122,143,668.6951,40.00122,143,566.4323,102.2629,False,False
41,1,1,1,1,39.8584,143,680.0082,39.8584,143,577.7453,102.2629,False,False
42,1,1,1,1,40.00122,143,691.322,40.00122,143,589.0591,102.2629,False,False
43,1,1,1,1,39.8584,143,702.6351,39.8584,143,600.3722,102.2629,False,False
44,1,1,1,1,40.00122,143,713.9489,40.00122,143,611.686,102.2629,False,False
45,1,1,1,1,39.8584,143,725.262,39.8584,143,622.9991,102.2629,False,False
46,1,1,1,1,40.00122,143,736.5758,40.00122,143,634.3129,102.2629,False,False
47,1,1,1,1,39.8584,143,747.8889,39.8584,143,645.626,102.2629,False,False
48,1,1,1,1,40.00122,143,759.2027,40.00122,143,656.9398,102.2629,False,False
49,1,1,1,1,39.8584,143,770.5157,39.8584,143,668.2529,102.2629,False,False
50,1,1,1,1,40.00122,143,781.8296,40.00122,143,679.5667,102.2629,False,False
51,1,1,1,1,39.8584,143,793.1426,39.8584,143,690.8798,102.2629,False,False
52,1,1,1,1,40.00122,143,804.4565,40.00122,143,702.1936,102.2629,False,False
53,1,1,1,1,39.8584,143,815.7695,39.8584,143,713.5067,102.2629,False,False
54,1,1,1,1,40.00122,143,827.0834,40.00122,143,724.8205,102.2629,False,False
55,1,1,1,1,39.8584,143,838.3964,39.8584,143,736.1335,102.2629,False,False
