time,YellowCarCo,YellowCarCm,GreenCarCo,GreenCarCm,YellowCarSpeed,YellowCarPositionX,YellowCarPositionZ,GreenCarSpeed,GreenCarPositionX,GreenCarPositionZ,distance,CoButton,CmButton
0,1,1.42,1,1,0,143,100,0,143,60,40,False,False
1,1,1.42,1,1.231059,40.00001,143.5498,111.3196,40.14267,143,71.34145,39.97818,False,False
2,1,1.42,1,1.380797,39.99985,144.0099,122.6413,39.99985,143,82.69476,39.94657,False,False
3,1,1.42,1,1.302184,39.99847,144.0099,133.9744,40.14404,143,94.04887,39.92554,False,False
4,1,1.42,1,1.189975,39.99847,144.0099,145.3073,39.99985,143,105.4022,39.90512,False,False
5,1,1.42,1.231059,1.189975,39.99903,142.7571,156.5128,40.14404,143,116.7563,39.75654,False,False
6,1,1.42,1.231059,1.390903,39.99847,141.9965,167.7684,39.99847,143,128.1096,39.65883,False,False
7,1,1.42,1.138763,1.317575,39.99847,141.9965,179.1013,40.14404,143,139.4635,39.6378,False,False
8,1,1.42,1.354458,1.317575,39.99847,144.0038,190.231,39.99847,143,150.8167,39.41434,False,False
9,1,1.42,1.29249,1.21095,39.99847,144.0038,201.5639,40.14404,143,162.1706,39.3933,False,False
10,1,1.42,1.213,1.074443,39.99847,144.0038,212.8968,39.99847,143,173.5237,39.37308,False,False
11,1,1.42,1.391871,1.074443,39.99999,143.1561,224.1438,40.14404,143,184.8776,39.2662,False,False
12,1,1.42,1.46477,1.074443,39.99847,141.9962,235.3593,39.99847,143,196.2308,39.12856,False,False
13,1,1.42,1.446849,1,39.99847,141.9962,246.6922,40.14404,143,207.5847,39.10753,False,False
14,1,1.42,1.483374,1,39.99675,143.6469,257.8579,39.99847,143,218.9314,38.92648,False,False
15,1,1.42,1.483374,1.231059,40.00122,144.0038,269.1552,40.14404,143,230.2789,38.87627,False,False
16,1,1.42,1.474667,1.098688,40.00122,144.0038,280.4889,39.99847,143,241.632,38.85683,False,False
17,1,1.42,1.474667,1.345535,39.9973,143.5576,291.777,39.85565,143,252.978,38.79906,False,False
18,1,1.42,1.492232,1.345535,40.00122,141.9963,302.9516,40.00122,143,264.291,38.66055,False,False
19,1,1.42,1.488109,1.25026,40.00122,141.9963,314.2852,39.85291,143,275.6033,38.68198,False,False
20,1,1.42,1.488109,1.416827,40.00206,142.3082,325.6112,40.00122,143,286.9164,38.69489,False,False
21,1,1.42,1.488109,1.475873,40.00206,142.8763,336.9309,39.85291,143,298.2286,38.7023,False,False
22,1,1.42,1.488109,1.493307,40.00179,143.4209,348.2511,40.00122,143,309.5417,38.70944,False,False
23,1,1.42,1.488109,1.498167,40.00179,143.9877,359.5708,39.85291,143,320.8539,38.71686,False,False
24,1,1.42,1.481836,1.496665,40.00122,144.0099,370.9039,40.00122,143,332.167,38.73691,False,False
25,1,1.42,1.472347,1.49394,40.00122,144.0099,382.2376,39.85291,143,343.4793,38.75833,False,False
26,1,1.42,1.472347,1.498341,40.00227,143.2493,393.494,40.00122,143,354.7924,38.70163,False,False
27,1,1.42,1.491507,1.498341,40.00122,141.9963,404.7003,39.85291,143,366.1046,38.59573,False,False
28,1,1.42,1.487004,1.496982,40.00122,141.9963,416.034,40.00122,143,377.4177,38.61633,False,False
29,1,1.42,1.49605,1.496982,39.99675,143.5576,427.2086,39.85291,143,388.7299,38.47861,False,False
30,1,1.42,1.49605,1.499176,40.00122,144.0037,438.4968,40.00122,143,400.043,38.45374,False,False
31,1,1.42,1.49394,1.498499,40.00122,144.0037,449.8304,39.85291,143,411.3553,38.47516,False,False
32,1,1.42,1.49394,1.49959,39.9973,143.6467,461.1277,40.00122,143,422.6684,38.45938,False,False
33,1,1.42,1.498167,1.49959,40.00122,141.9963,472.2932,39.85291,143,433.9806,38.31259,False,False
34,1,1.42,1.497185,1.499254,40.00122,141.9963,483.6269,40.00122,143,445.2937,38.33319,False,False
35,1,1.42,1.499151,1.499254,39.99675,143.1562,494.8423,39.85291,143,456.606,38.23639,False,False
36,1,1.42,1.499744,1.499254,40.00122,144.0037,506.0896,40.00122,143,467.919,38.17059,False,False
37,1,1.42,1.499606,1.498641,40.00122,144.0037,517.4233,39.85291,143,479.2313,38.19199,False,False
38,1,1.42,1.499395,1.497527,40.00122,144.0037,528.757,40.00122,143,490.5444,38.21259,False,False
39,1,1.42,1.499818,1.497527,40.00122,141.996,539.8874,39.85291,143,501.8566,38.03076,False,False
40,1,1.42,1.49972,1.495504,40.00122,141.996,551.2211,40.00122,143,513.1698,38.05127,False,False
41,1,1.42,1.499569,1.491838,39.99657,142.1854,562.5496,39.8584,143,524.4828,38.06671,False,False
42,1,1.42,1.499569,1.497762,39.99657,142.7535,573.8677,40.00122,143,535.7967,38.07098,False,False
43,1,1.42,1.499569,1.499389,39.9963,143.2986,585.1864,39.8584,143,547.1097,38.07666,False,False
44,1,1.42,1.499569,1.499833,39.9963,143.8653,596.5045,40.00122,143,558.4236,38.08093,False,False
45,1,1.42,1.499338,1.499696,40.00122,144.0098,607.8342,39.8584,143,569.7366,38.0976,False,False
46,1,1.42,1.498983,1.499447,40.00122,144.0098,619.1679,40.00122,143,581.0505,38.11743,False,False
47,1,1.42,1.498438,1.498993,39.99634,143.7413,630.4741,39.8584,143,592.3635,38.1106,False,False
48,1,1.42,1.499529,1.498993,40.00122,141.9966,641.6293,40.00122,143,603.6774,37.9519,False,False
49,1,1.42,1.499276,1.498167,40.00122,141.9966,652.963,39.8584,143,614.9904,37.97253,False,False
50,1,1.42,1.499782,1.498167,40.00268,143.0671,664.1882,40.00122,143,626.3043,37.88397,False,False
51,1,1.42,1.499934,1.498167,40.00122,144.004,675.4271,39.8584,143,637.6173,37.80975,False,False
52,1,1.42,1.499899,1.496665,40.00122,144.004,686.7607,40.00122,143,648.9312,37.82959,False,False
53,1,1.42,1.499845,1.49394,40.00122,144.004,698.0944,39.8584,143,660.2442,37.85022,False,False
54,1,1.42,1.499953,1.49394,40.00122,141.996,709.2249,40.00122,143,671.558,37.66681,False,False
55,1,1.42,1.499928,1.489013,40.00122,141.996,720.5585,39.8584,143,682.8711,37.68744,False,False
56,1,1.42,1.499928,1.496982,40.00268,142.6653,731.8245,40.00122,143,694.1849,37.63953,False,False
57,1,1.42,1.499978,1.496982,40.00122,144.004,743.0226,39.8584,143,705.498,37.52466,False,False
