time,YellowCarCo,YellowCarCm,GreenCarCo,GreenCarCm,YellowCarSpeed,YellowCarPositionX,YellowCarPositionZ,GreenCarSpeed,GreenCarPositionX,GreenCarPositionZ,distance,CoButton,CmButton
0,1.42,1,1,1,0,143,100,0,143,60,40,False,False
1,1.42,1,1,1,32.79968,143,110.3134,40.14267,143,71.34145,38.97192,False,False
2,1.42,1,1,1,29.91989,143,118.9426,39.99985,143,82.69476,36.24786,False,False
3,1.42,1,1,1,29.91989,143,127.4199,40.14404,143,94.04887,33.37104,False,False
4,1.42,1,1,1,29.91852,143,135.8969,39.99985,143,105.4022,30.49466,False,False
5,1.42,1,1,1.301786,29.91852,143,144.3738,38.19946,143,116.529,27.84476,False,False
6,1.42,1,1,1.406606,29.91852,143,152.8507,35.39108,143,127.0074,25.84328,False,False
7,1.42,1.075303,1,1.447581,29.91852,143,161.3276,30.06409,143,136.0526,25.27499,False,False
8,1.42,1.324377,1,1.467851,29.91852,143,169.8045,29.91852,143,144.5497,25.25478,False,False
9,1.42,1.421381,1,1.479117,29.91852,143,178.2814,30.06409,143,153.0477,25.23375,False,False
10,1,1.435226,1,1.485863,29.92083,143.067,186.7567,29.91852,143,161.5448,25.21194,False,False
11,1,1.435226,1,1.490124,29.92083,143.4939,195.2235,30.06409,143,170.0427,25.1808,False,False
12,1,1.435226,1,1.492925,29.92083,143.9207,203.6903,29.91852,143,178.5399,25.15047,False,False
13,1,1.435226,1,1.494826,29.91852,144.0045,212.1653,30.06409,143,187.0378,25.12746,False,False
14,1,1.435226,1,1.496151,29.91852,144.0045,220.6422,29.91852,143,195.5349,25.10724,False,False
15,1,1.435226,1,1.497094,29.91852,144.0045,229.1191,30.06409,143,204.0329,25.08621,False,False
16,1,1.435226,1,1.497778,29.92001,143.5396,237.5492,29.91852,143,212.53,25.01921,False,False
17,1,1.435226,1,1.498282,29.91852,141.9793,245.8691,30.06409,143,221.028,24.84113,False,False
18,1,1.435226,1,1.498658,29.91852,141.9793,254.346,29.91852,143,229.5251,24.82091,False,False
19,1,1.435226,1,1.498943,29.92126,141.9793,262.8235,30.06409,143,238.023,24.80052,False,False
20,1,1.435226,1,1.49916,29.91861,143.2172,271.1748,29.91852,143,246.5073,24.66743,False,False
21,1,1.435226,1,1.499328,29.92126,144.0201,279.5704,30.06409,143,254.9941,24.57637,False,False
22,1,1.435226,1,1.499459,29.92126,144.0201,288.0481,29.92126,143,263.4915,24.55658,False,False
23,1,1.435226,1,1.499562,29.92126,144.0201,296.5258,30.06409,143,271.9899,24.53595,False,False
24,1,1.435226,1,1.499643,29.92126,144.0201,305.0035,29.92126,143,280.4874,24.51611,False,False
25,1,1.435226,1,1.499708,29.9175,142.3143,313.3069,29.77295,143,288.9437,24.36322,False,False
26,1,1.435226,1,1.499759,29.92126,141.9799,321.7504,29.92126,143,297.4331,24.31729,False,False
27,1,1.435226,1,1.499801,29.92126,141.9799,330.2281,30.06409,143,305.9314,24.29666,False,False
28,1,1.435226,1,1.499835,29.91805,142.7492,338.6272,29.92126,143,314.4112,24.216,False,False
29,1,1.435226,1.098688,1.499863,29.92126,144.0201,346.975,30.06409,143,322.8788,24.09622,False,False
30,1,1.435226,1,1.499885,29.92126,144.0201,355.4527,29.92126,143,331.3763,24.07639,False,False
31,1,1.435226,1,1.499904,29.92126,144.0201,363.9304,30.06409,143,339.8746,24.05576,False,False
32,1,1.435226,1,1.499919,29.92126,144.0201,372.4081,29.92126,143,348.3721,24.03592,False,False
33,1,1.435226,1.024979,1.499931,29.91805,142.7825,380.7593,29.77295,143,356.8397,23.91956,False,False
34,1,1.435226,1.285835,1.499942,29.92126,141.9799,389.1549,29.92126,143,365.3178,23.8371,False,False
35,1,1.435226,1.189975,1.499951,29.92126,141.9799,397.6326,30.06409,143,373.8162,23.81647,False,False
36,1,1.435226,1.074443,1.499958,29.92167,142.0562,406.1084,29.92126,143,382.3137,23.79471,False,False
37,1,1.435226,1.074443,1.499964,29.92167,142.4881,414.5752,30.06409,143,390.812,23.76318,False,False
38,1,1.435226,1.074443,1.499969,29.92153,142.9199,423.042,29.92126,143,399.3095,23.73245,False,False
39,1,1.457124,1.074443,1.499974,29.92042,143.3294,431.5092,29.77295,143,407.7755,23.7337,False,False
40,1,1.457124,1.074443,1.499977,29.92042,143.7543,439.976,29.92126,143,416.2326,23.74341,False,False
41,1,1.457124,1,1.49998,29.92126,144.0044,448.4473,30.06409,143,424.7067,23.74063,False,False
42,1,1.457124,1,1.499983,29.92126,144.0044,456.925,29.92126,143,433.2042,23.72079,False,False
43,1,1.457124,1,1.499985,29.92126,144.0044,465.4027,30.06409,143,441.7025,23.70016,False,False
44,1,1.457124,1,1.499987,29.92126,144.0044,473.8804,29.92126,143,450.2,23.68033,False,False
45,1,1.457124,1,1.499989,29.92001,142.5104,482.207,29.77295,143,458.6612,23.54584,False,False
46,1,1.457124,1,1.49999,29.92126,141.9793,490.631,29.92126,143,467.1458,23.48523,False,False
47,1,1.457124,1,1.499992,29.92126,141.9793,499.1087,30.06409,143,475.6441,23.4646,False,False
48,1,1.457124,1,1.499993,29.91861,142.5481,507.5283,29.92126,143,484.1287,23.3996,False,False
49,1,1.457124,1.049834,1.499994,29.91577,144.0202,515.8558,29.77295,143,492.5979,23.25797,False,False
50,1,1.457124,1,1.499995,29.91577,144.0202,524.332,29.92126,143,501.055,23.27701,False,False
51,1,1.457124,1,1.499995,29.91577,144.0202,532.8081,29.77295,143,509.5112,23.29688,False,False
52,1,1.457124,1,1.499996,29.91577,144.0202,541.2842,29.91577,143,517.9948,23.28949,False,False
53,1,1.457124,1,1.499996,29.92344,142.9833,549.6563,30.05859,143,526.4915,23.16479,False,False
54,1,1.457124,1.25026,1.499997,29.91577,141.9795,558.0317,29.91577,143,534.9875,23.04425,False,False
55,1,1.457124,1.145656,1.499997,29.91577,141.9795,566.5079,30.05859,143,543.4843,23.02362,False,False
56,1,1.457124,1.024979,1.499997,29.92344,142.0799,574.9739,29.91577,143,551.9802,22.99371,False,False
57,1,1.457124,1.285835,1.499998,29.92399,143.7862,583.2789,30.05859,143,560.477,22.80188,False,False
58,1,1.457124,1.189974,1.499998,29.91577,144.0205,591.7315,29.91577,143,568.973,22.75854,False,False
59,1,1.457124,1.074442,1.499998,29.91577,144.0205,600.2076,30.05859,143,577.4697,22.73792,False,False
60,1,1.457124,1,1.499998,29.91577,144.0205,608.6838,29.91577,143,585.9657,22.71808,False,False
61,1,1.457124,1,1.499999,29.92344,143.4518,617.1028,30.05859,143,594.4625,22.64038,False,False
62,1,1.457124,1.231058,1.499999,29.91577,141.9795,625.4313,29.91577,143,602.9584,22.47284,False,False
63,1,1.457124,1.122459,1.499999,29.91577,141.9795,633.9074,30.05859,143,611.4552,22.45221,False,False
64,1,1.457124,1,1.499999,29.91577,141.9795,642.3835,29.91577,143,619.9512,22.43237,False,False
65,1,1.457124,1,1.499999,29.92167,142.3183,650.8524,30.05859,143,628.4479,22.40442,False,False
66,1,1.457124,1,1.499999,29.92167,142.7502,659.3192,29.91577,143,636.9439,22.37524,False,False
67,1,1.469537,1,1.499999,29.92042,143.1628,667.7863,30.05859,143,645.4407,22.34564,False,False
68,1,1.469537,1,1.499999,29.92042,143.5877,676.2531,29.91577,143,653.9366,22.31647,False,False
69,1,1.469537,1,1.704745,29.91577,144.0044,684.7201,30.05859,143,662.4334,22.28668,False,False
70,1,1.469537,1,1.574442,29.91577,144.0044,693.1962,29.91577,143,670.9294,22.26685,False,False
71,1,1.469537,1,1.5,29.91577,144.0044,701.6724,30.05859,143,679.4261,22.24622,False,False
72,1,1.469537,1,1.5,29.91577,144.0044,710.1485,29.91577,143,687.9221,22.22638,False,False
73,1,1.469537,1,1.58904,29.91408,143.1745,718.5407,29.77295,143,696.3983,22.14246,False,False
74,1,1.469537,1,1.58904,29.91577,141.9797,726.8961,29.91577,143,704.8657,22.0304,False,False
75,1,1.469537,1,1.5,29.91577,141.9797,735.3722,30.05859,143,713.3624,22.00977,False,False
76,1,1.469537,1,1.5,29.91577,141.9797,743.8483,29.91577,143,721.8584,21.98993,False,False
77,1,1.469537,1,1.5,29.92399,143.5855,752.1633,30.05859,143,730.3552,21.80817,False,False
78,1,1.469537,1,1.603482,29.91577,144.0205,760.5958,29.91577,143,738.8511,21.74469,False,False
79,1,1.469537,1,1.5,29.91577,144.0205,769.072,30.05859,143,747.3479,21.72406,False,False
80,1,1.469537,1,1.5,29.91577,144.0205,777.5481,29.91577,143,755.8439,21.70422,False,False
81,1,1.469537,1,1.617747,29.92399,143.6525,785.9873,30.05859,143,764.3406,21.64667,False,False
82,1,1.469537,1.024979,1.617747,29.91577,141.9795,794.2956,29.91577,143,772.8366,21.45898,False,False
83,1,1.469537,1,1.5,29.91577,141.9795,802.7717,30.05859,143,781.3334,21.43835,False,False
84,1,1.469537,1,1.5,29.91577,141.9795,811.2479,29.91577,143,789.8293,21.41852,False,False
85,1,1.469537,1.074442,1.5,29.92399,143.1171,819.6099,30.05859,143,798.3261,21.28375,False,False
86,1,1.469537,1.317574,1.5,29.91577,144.0205,827.9954,29.91577,143,806.8221,21.17328,False,False
87,1,1.469537,1.231058,1.5,29.91577,144.0205,836.4715,30.05859,143,815.3188,21.15265,False,False
88,1,1.469537,1.122458,1.5,29.91577,144.0205,844.9476,29.91577,143,823.8148,21.13281,False,False
89,1,1.469537,1,1.5,29.91577,144.0205,853.4238,30.05859,143,832.3116,21.11218,False,False
90,1,1.469537,1.268524,1.5,29.92399,142.4145,861.7388,29.91577,143,840.8076,20.93121,False,False
91,1,1.469537,1.268524,1.5,29.91577,141.9795,870.1713,30.05859,143,849.3043,20.86694,False,False
92,1,1.469537,1.168187,1.5,29.91577,141.9795,878.6474,29.91577,143,857.8003,20.84711,False,False
93,1,1.469537,1.049833,1.5,29.92167,142.1489,887.1199,30.05859,143,866.2971,20.82281,False,False
94,1,1.469537,1.049833,1.5,29.92167,142.5808,895.5867,29.91577,143,874.793,20.79364,False,False
95,1,1.478827,1.049833,1.522484,29.91577,143.0045,904.0536,30.05859,143,883.2898,20.76385,False,False
96,1,1.478827,1.049833,1.784147,29.92042,143.4211,912.5206,29.91577,143,891.7858,20.73486,False,False
